s,name,country_id
100877359h,Müritz Hotel,183
1011881h,Burg Großfurra,183
1015042h,Burghaus Burgsahr,183
10332618h,Mosteiro de Flor da Rosa,45
103331335h,"32 Bond Street, Ross",408
10343928h,Palácio Belmonte,45
10344021h,Palácio de Estói,45
10352192h,Convento das Chagas (Vila Viçosa),45
10352195h,Convento dos Lóios,45
10352198h,Pousada de Condeixa-a-Nova,45
10352202h,Capela e Hospital da Santa Casa da Misericórdia de Ourém,45
10352206h,Pousada de Viseu,45
10352207h,Antigo Convento do Desagravo do Santíssimo Sacramento,45
10352211h,Convento de Nossa Senhora da Boa Esperança,45
10352218h,Solar da Rede,45
10352219h,Convento dos Lóios,45
104083353h,Commercial Hotel,408
104234251h,British Hotel,408
104830558h,Welsbach Building,30
1049027h,Jumeirah Emirates Towers Hotel,878
1049209h,The Venetian,30
1051604h,Four Queens,30
10524043h,Hilton Nairobi,114
10524047h,Hilton Stockholm Slussen,34
10526554h,Hotel Knaust,34
10526572h,Hotel Billingen,34
105554563h,Heliopolis Towers Hotel,79
105621651h,Oubangui Hotel,929
106090892h,"Overtoom 33, Amsterdam",55
106192327h,Can Ferrandell,29
1063195h,Torre de Madrid,29
106393048h,Hampton by Hilton Bursa,43
1064873h,Excalibur Hotel and Casino,30
106996884h,Na můstku 10,213
107121457h,Brinker Collegiate Institute,30
107168152h,Manor House Hotel,30
107607598h,Hotel Dudley,30
108294146h,"Flour Mill at 129 Port avenue, Valencia",29
108309815h,Can Cera,29
108516880h,Villa Balbi,38
108729880h,Kasteel Solhof,31
108865646h,Lamar Hotel,30
108865673h,Union Hotel,30
1092961h,Circus Circus Las Vegas,30
109451447h,Panquinkazerne,31
1096141h,Act Tower,17
110010967h,"SAii Lagoon Maldives, Curio Collection by Hilton",826
110041692h,Central téléphonique Ségur,142
110147122h,Hilton Garden Inn London Heathrow Terminals 2 and 3,145
110251555h,Ostrovní 15,213
110407965h,Tours Odyssey,142
110660109h,Silk Road Hotel (Yazd),794
110660372h,Dalan-e Behesht Hotel,794
110664670h,Khesht Abad Hotel,794
1106716h,"Kempinski Hotel Corvinus, Budapest",28
110681137h,Zoerselhof,31
110735133h,Can Balaguer,29
1107391h,Sands Hotel and Casino,30
110831132h,Casa Gabino Bobo,29
111041461h,DoubleTree by Hilton Hannover Schweizerhof,183
111243216h,Hilton Singapore Orchard,334
111445383h,Chestnut Residence and Conference Centre,16
1116194h,The Leland Hotel,30
112111547h,Lepopirtti,33
112147576h,Torenhuis,31
112168936h,De Gouden Leeuw,31
1127749h,Hotel Kämp,33
113051152h,Putnam House,30
113163876h,St. James Hotel,30
113164074h,Windsor Hotel,30
113164146h,Palmetto House,30
113164237h,Clarendon Hotel,30
113171856h,Union House,30
11330330h,Hilton Nagoya,17
11330330h,Hilton Nagoya,252
11330332h,Hilton Odawara Resort & Spa,17
11330335h,Hilton Tokyo Bay,17
113564549h,Hôtel La Pérouse,142
1136654h,The D Las Vegas,30
1136841h,Fremont Hotel and Casino,30
11415297h,JR Gate Tower,17
114289194h,Grand Hôtel G. Scheers,31
1143174h,Ritz-Carlton Toronto,16
1147483h,Sahara Las Vegas,30
115282741h,Nedermolen,31
116215655h,Hotel Antonio Perez,31
11700542h,Prince George Hotel,30
1189944h,Hotel Porta Fira,29
1200583h,Desert Inn,30
12020416h,Hotel Paříž,213
12072758h,Westin Book Cadillac Hotel,30
1237113h,Convento de Santa Maria do Bouro,45
12495h,Burj Khalifa,878
1281171h,Trump Hotel Las Vegas,30
1304383h,Waldorf Astoria Las Vegas,30
13049756h,Canfranc-Estación,29
1309059h,Wynn Las Vegas,30
13103085h,Hôtel de Paris,32
1324543h,El Rancho Hotel & Motel,30
1340132h,Encore,30
1340365h,Westgate Las Vegas Resort & Casino,30
1342565h,Planet Hollywood Resort & Casino,30
1347033h,Dunes,30
13529145h,"The Biltmore Mayfair, LXR Hotels & Resorts",145
13529180h,Hilton London Hyde Park,145
1360313h,Treasure Island Hotel and Casino,30
1368043h,Mandalay Bay,30
