s,name
http://example.com/building/id/1000054b,Zisa Castle
http://example.com/building/id/1000781b,Buddenturm
http://example.com/building/id/100151800b,Weilburg Railroad Tunnel
http://example.com/building/id/1001643b,Florence–Rome high-speed railway
http://example.com/building/id/100166601b,516 Arouca
http://example.com/building/id/100272163b,Pont de la Manda
http://example.com/building/id/100287554b,Reveston Tunnel
http://example.com/building/id/100287609b,Schermbeck A Viaduct
http://example.com/building/id/100287662b,Aberfeldy Footbridge
http://example.com/building/id/100287874b,Barrios Tunnel
http://example.com/building/id/100288026b,Henderson Road Bridge
http://example.com/building/id/100288769b,Biogna Tunnel
http://example.com/building/id/100293283b,Britzer-Allee-Brücke
http://example.com/building/id/100293380b,Pont de Vianden
http://example.com/building/id/100294398b,Big Soldier Creek Bridge
http://example.com/building/id/100296429b,Taubentalsbach Viaduct
http://example.com/building/id/100296905b,Mangaweka Bridge
http://example.com/building/id/100297710b,Villieu Viaduct
http://example.com/building/id/100298149b,Urt Bridge
http://example.com/building/id/100298438b,Sutum Bridge
http://example.com/building/id/100299086b,Saint-Julien Canal Bridge
http://example.com/building/id/100299287b,Montfrin Bridge
http://example.com/building/id/100299710b,Ahsener Brücke
http://example.com/building/id/100299917b,Wolfsau Viaduct
http://example.com/building/id/100303173b,Grüne Brücke
http://example.com/building/id/100309486b,Setoko-Nipah Bridge
http://example.com/building/id/100309736b,Eisenbahnbrücke über die Apfelstädt
http://example.com/building/id/100309951b,Rugby Flyover
http://example.com/building/id/100310390b,Pont de Pau
http://example.com/building/id/100311164b,Allerbrücke A7
http://example.com/building/id/100313325b,Marcillac Railroad Viaduct
http://example.com/building/id/100313462b,Tabac Gorge Viaduct
http://example.com/building/id/100313636b,North Fork Nehalem River Bridge
http://example.com/building/id/100313757b,Cilcewydd Railway Bridge
http://example.com/building/id/100314620b,Casamozza Railroad Bridge
http://example.com/building/id/100318819b,U.P.R.R. - Snake River Bridge
http://example.com/building/id/100319133b,Cure Bridge
http://example.com/building/id/100320698b,Alfbach Viaduct
http://example.com/building/id/100320718b,CR 60 Tallapoosa River Bridge
http://example.com/building/id/100320720b,Westtangenten Bridge at Kelheim
http://example.com/building/id/100320723b,Frodsham Bridge 5
http://example.com/building/id/100320739b,Crewgreen Bridge
http://example.com/building/id/100320761b,Diepmannsbach Bridge at Remscheid-Lennep
http://example.com/building/id/100320766b,Pont du Gour Noir
http://example.com/building/id/100320769b,Pont du Maire Kuss
http://example.com/building/id/100320770b,Estirac Bridge
http://example.com/building/id/100320780b,Poggenmühlenbrücke
http://example.com/building/id/100320870b,Baltschiederbrücke
http://example.com/building/id/100320955b,Saint-Jean-de-Fos Canal Bridge
http://example.com/building/id/100321833b,Ourense Viaduct
http://example.com/building/id/100321852b,Pont des Six-Liards
http://example.com/building/id/100323432b,Sigulda Bridge
http://example.com/building/id/100323512b,Fontannes Tunnel
http://example.com/building/id/100323673b,Massoins Bridge
http://example.com/building/id/100323682b,Lamouroux Viaduct
http://example.com/building/id/100325099b,Fawcett Road Bridge
http://example.com/building/id/100325870b,Tapia de la Ribera Tower
http://example.com/building/id/100326067b,Gustave Eiffel Bridge
http://example.com/building/id/100326369b,Dry Gulch Bridge
http://example.com/building/id/100326532b,Ferrara Railway Bridge
http://example.com/building/id/100326552b,Rush's Mill Bridge
http://example.com/building/id/100326572b,Rethen Viaduct
http://example.com/building/id/100326592b,Swift River Bridge
http://example.com/building/id/100326605b,Saint-Géry Bridge
http://example.com/building/id/100326654b,Huangbohe Bridge
http://example.com/building/id/100326670b,Elberon Avenue Bridge
http://example.com/building/id/100327024b,Negley Bridge
http://example.com/building/id/100332669b,Agua Fria Railroad Bridge
http://example.com/building/id/100355215b,Lavoitobel Bridge
http://example.com/building/id/100371210b,Aqueduc de Jacourelle
http://example.com/building/id/1004331b,Cathedral of Funchal
http://example.com/building/id/100537697b,Karolinenbrücke
http://example.com/building/id/100696259b,Neshanic Station Lenticular Truss Bridge
http://example.com/building/id/100700993b,Pont de l'Arche de Noé
http://example.com/building/id/100716513b,Worcester Railway Bridge
http://example.com/building/id/1007726b,Galleria Umberto I
http://example.com/building/id/100786471b,Indian Camp Covered Bridge
http://example.com/building/id/100878014b,Stevenson Road Covered Bridge
http://example.com/building/id/1010268b,Basilica of St. Sernin
http://example.com/building/id/101054169b,Pont de l'Orignal
http://example.com/building/id/101084958b,1270 Avenue of the Americas
http://example.com/building/id/1010879b,Château d'Arques
http://example.com/building/id/101091693b,Pont de la Calamité
http://example.com/building/id/101094405b,Castillo de San Marcos
http://example.com/building/id/101094890b,Orangery of Sceaux
http://example.com/building/id/1011026b,Château de Beynac
http://example.com/building/id/1011058b,Château de Blandy-les-Tours
http://example.com/building/id/101109957b,Patrick G. and Shirley W. Ryan Center for the Musical Arts
http://example.com/building/id/101110028b,Pont Dénommée
http://example.com/building/id/1011357b,Château de Castelnaud-la-Chapelle
http://example.com/building/id/1011361b,Château de Châlus-Chabrol
http://example.com/building/id/1011395b,Tour de Crest
http://example.com/building/id/101241426b,Eisenbahnbrücke (Tübingen)
http://example.com/building/id/101244279b,177 Huntington
http://example.com/building/id/1012675b,Schloss Klamm
http://example.com/building/id/1012889b,Château de Lavardin
http://example.com/building/id/1013013b,Burg Lohra
http://example.com/building/id/1013399b,Imperial Villa Nijō Castle
http://example.com/building/id/1013993b,Château de Sedan
http://example.com/building/id/101403951b,Turati Tower
http://example.com/building/id/1014264b,Château de Tournoël
http://example.com/building/id/10149b,Ancient theatre of Vienne
http://example.com/building/id/1015081b,Burgholztunnel
http://example.com/building/id/101563299b,Nepomucenusbrug
http://example.com/building/id/1016053b,Burgtorbrücke
http://example.com/building/id/1017144b,Burtscheider Viadukt
http://example.com/building/id/101730b,1998 FIFA World Cup
http://example.com/building/id/101751b,1994 FIFA World Cup
