s,object_type
http://example.com/building/id/1000054b,http://example.com/ontology/Building
http://example.com/building/id/1000781b,http://example.com/ontology/Building
http://example.com/building/id/100151800b,http://example.com/ontology/Building
http://example.com/building/id/1001643b,http://example.com/ontology/Building
http://example.com/building/id/100166601b,http://example.com/ontology/Building
http://example.com/building/id/100272163b,http://example.com/ontology/Building
http://example.com/building/id/100287554b,http://example.com/ontology/Building
http://example.com/building/id/100287609b,http://example.com/ontology/Building
http://example.com/building/id/100287662b,http://example.com/ontology/Building
http://example.com/building/id/100287874b,http://example.com/ontology/Building
http://example.com/building/id/100288026b,http://example.com/ontology/Building
http://example.com/building/id/100288769b,http://example.com/ontology/Building
http://example.com/building/id/100293283b,http://example.com/ontology/Building
http://example.com/building/id/100293380b,http://example.com/ontology/Building
http://example.com/building/id/100294398b,http://example.com/ontology/Building
http://example.com/building/id/100296429b,http://example.com/ontology/Building
http://example.com/building/id/100296905b,http://example.com/ontology/Building
http://example.com/building/id/100297710b,http://example.com/ontology/Building
http://example.com/building/id/100298149b,http://example.com/ontology/Building
http://example.com/building/id/100298438b,http://example.com/ontology/Building
http://example.com/building/id/100299086b,http://example.com/ontology/Building
http://example.com/building/id/100299287b,http://example.com/ontology/Building
http://example.com/building/id/100299710b,http://example.com/ontology/Building
http://example.com/building/id/100299917b,http://example.com/ontology/Building
http://example.com/building/id/100303173b,http://example.com/ontology/Building
http://example.com/building/id/100309486b,http://example.com/ontology/Building
http://example.com/building/id/100309736b,http://example.com/ontology/Building
http://example.com/building/id/100309951b,http://example.com/ontology/Building
http://example.com/building/id/100310390b,http://example.com/ontology/Building
http://example.com/building/id/100311164b,http://example.com/ontology/Building
http://example.com/building/id/100313325b,http://example.com/ontology/Building
http://example.com/building/id/100313462b,http://example.com/ontology/Building
http://example.com/building/id/100313636b,http://example.com/ontology/Building
http://example.com/building/id/100313757b,http://example.com/ontology/Building
http://example.com/building/id/100314620b,http://example.com/ontology/Building
http://example.com/building/id/100318819b,http://example.com/ontology/Building
http://example.com/building/id/100319133b,http://example.com/ontology/Building
http://example.com/building/id/100320698b,http://example.com/ontology/Building
http://example.com/building/id/100320718b,http://example.com/ontology/Building
http://example.com/building/id/100320720b,http://example.com/ontology/Building
http://example.com/building/id/100320723b,http://example.com/ontology/Building
http://example.com/building/id/100320739b,http://example.com/ontology/Building
http://example.com/building/id/100320761b,http://example.com/ontology/Building
http://example.com/building/id/100320766b,http://example.com/ontology/Building
http://example.com/building/id/100320769b,http://example.com/ontology/Building
http://example.com/building/id/100320770b,http://example.com/ontology/Building
http://example.com/building/id/100320780b,http://example.com/ontology/Building
http://example.com/building/id/100320870b,http://example.com/ontology/Building
http://example.com/building/id/100320955b,http://example.com/ontology/Building
http://example.com/building/id/100321833b,http://example.com/ontology/Building
http://example.com/building/id/100321852b,http://example.com/ontology/Building
http://example.com/building/id/100323432b,http://example.com/ontology/Building
http://example.com/building/id/100323512b,http://example.com/ontology/Building
http://example.com/building/id/100323673b,http://example.com/ontology/Building
http://example.com/building/id/100323682b,http://example.com/ontology/Building
http://example.com/building/id/100325099b,http://example.com/ontology/Building
http://example.com/building/id/100325870b,http://example.com/ontology/Building
http://example.com/building/id/100326067b,http://example.com/ontology/Building
http://example.com/building/id/100326369b,http://example.com/ontology/Building
http://example.com/building/id/100326532b,http://example.com/ontology/Building
http://example.com/building/id/100326552b,http://example.com/ontology/Building
http://example.com/building/id/100326572b,http://example.com/ontology/Building
http://example.com/building/id/100326592b,http://example.com/ontology/Building
http://example.com/building/id/100326605b,http://example.com/ontology/Building
http://example.com/building/id/100326654b,http://example.com/ontology/Building
http://example.com/building/id/100326670b,http://example.com/ontology/Building
http://example.com/building/id/100327024b,http://example.com/ontology/Building
http://example.com/building/id/100332669b,http://example.com/ontology/Building
http://example.com/building/id/100355215b,http://example.com/ontology/Building
http://example.com/building/id/100371210b,http://example.com/ontology/Building
http://example.com/building/id/1004331b,http://example.com/ontology/Building
http://example.com/building/id/100537697b,http://example.com/ontology/Building
http://example.com/building/id/100696259b,http://example.com/ontology/Building
http://example.com/building/id/100700993b,http://example.com/ontology/Building
http://example.com/building/id/100716513b,http://example.com/ontology/Building
http://example.com/building/id/1007726b,http://example.com/ontology/Building
http://example.com/building/id/100786471b,http://example.com/ontology/Building
